"","tweet_id","airline_sentiment","airline_sentiment_confidence","negativereason","negativereason_confidence","airline","airline_sentiment_gold","name","negativereason_gold","retweet_count","text","tweet_coord","tweet_created","tweet_location","user_timezone"
"1","1292390400","neutral","1","","","Delta","","JetBlueNews","","0","@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Greenfield Daily Reporter http://t.co/LM3opxkxch","","2015-02-16 23:36:05 -0800","USA","Sydney"
"2","1741189120","negative","1","Can't Tell","0.6503","Delta","","nesi_1992","","0","@JetBlue is REALLY getting on my nerves !! 😡😡 #nothappy","","2015-02-16 23:43:02 -0800","undecided","Pacific Time (US & Canada)"
"3","-1542963200","negative","1","Late Flight","0.346","United","","CPoutloud","","0","@united yes. We waited in line for almost an hour to do so. Some passengers just left not wanting to wait past 1am.","","2015-02-16 23:48:48 -0800","Washington DC",""
"4","2059558914","negative","1","Late Flight","1","United","","brenduch","","0","@united the we got into the gate at IAH on time and have given our seats and closed the flight. If you know people is arriving have to wait","","2015-02-16 23:52:20 -0800","","Buenos Aires"
"5","423759872","negative","1","Customer Service Issue","0.3451","Southwest","","VahidESQ","","0","@SouthwestAir its cool that my bags take a bit longer dont give me baggage blue balls-turn the carousel on tell me it's coming then not.","","2015-02-17 00:00:36 -0800","Los Angeles CA","Pacific Time (US & Canada)"
"6","1010978817","negative","1","Bad Flight","0.6707","United","","brenduch","","0","@united and don't hope for me having a nicer flight some other time try to do things right. You sold me those tickets with that connetion","","2015-02-17 00:01:07 -0800","","Buenos Aires"
"7","1241665536","negative","1","Late Flight","1","United","","CRomerDome","","0","@united I like delays less than you because I'm the one on the plane. Connect me with a voucher","","2015-02-17 00:05:27 -0800","Portland OR","Pacific Time (US & Canada)"
"8","2038956033","negative","1","Customer Service Issue","0.3545","United","","JustOGG","","0","@united link to current status of flights/airports? Fly BWI-EWR-MCO this morning yet can't yet tell what any problems are except see snow.","","2015-02-17 01:18:29 -0800","Tweets = My Opinion","Eastern Time (US & Canada)"
"9","1703440384","negative","1","Customer Service Issue","1","Southwest","","mrshossruns","","0","@SouthwestAir you guys there? Are we on hour 2 of our phone hold at 3am bc of volume or short staffing?","","2015-02-17 01:30:32 -0800","","Eastern Time (US & Canada)"
"10","-951549952","negative","1","Customer Service Issue","0.6797","United","","feliciastoler","","0","@united I tried 2 DM it would not go thru... not sure why","[0.0 0.0]","2015-02-17 01:32:09 -0800","New Jersey","Central Time (US & Canada)"
"11","474492928","negative","0","Flight Booking Problems","0.6337","United","","markhlyon","","0","Wanted to get my bag benefit but instead get $25 pricing on all three tickets. When adding a card MP Visa is only option. @united","[38.9058375 -77.00423674]","2015-02-17 01:54:53 -0800","Washington DC","Eastern Time (US & Canada)"
"12","-419299328","negative","1","Bad Flight","0.3611","United","","DBsViewOnThings","","0","@united please see a flight attendant for what? Why isn't there enough room for over head bags? I carry on to save time!!!","","2015-02-17 02:10:58 -0800","","Atlantic Time (Canada)"
"13","1535275011","negative","1","Customer Service Issue","0.6752","United","","ljsbrooks","","0","@united still waiting for a reply","","2015-02-17 02:23:03 -0800","",""
"14","1174949888","neutral","1","","","United","","gwaki","","0","@united even though technically after I land I will be silver?","","2015-02-17 02:38:11 -0800","","Central Time (US & Canada)"
"15","-410517503","neutral","1","","","US Airways","","ashenfaced","","0","@USAirways how's us 1797 looking today?","","2015-02-17 03:14:32 -0800","Brighton",""
"16","-406712319","positive","1","","","Southwest","","rjp1208","","0","@SouthwestAir nice work on the update!","","2015-02-17 04:03:09 -0800","","Pacific Time (US & Canada)"
"17","1514688512","negative","1","Lost Luggage","1","United","","hannahtorney","","0","@united i have items of sentimental value that I'm heartbroken are missing","","2015-02-17 04:33:32 -0800","Omagh/Belfast","London"
"18","167927808","negative","1","Late Flight","0.6605","Southwest","","followkashyap","","0","@SouthwestAir We have been stuck in SJU for several hours and no one is answering here. Really tough to LUV SW. No response is bad.","","2015-02-17 04:35:00 -0800","USA","Eastern Time (US & Canada)"
"19","381812736","neutral","1","","","Delta","","BritishAirNews","","0","@JetBlue CEO weighs profits flyers - @ChronicleHerald (registration) http://t.co/l2n0egHdgn","","2015-02-17 04:50:05 -0800","UK","Sydney"
"20","-364756992","negative","1","Customer Service Issue","1","US Airways","","sevnthstar","","0","@USAirways @AmericanAir How r u supposed to change flights when u can't get thru to reservations? #OneHourOnHold","","2015-02-17 05:04:44 -0800","often underwater","Pacific Time (US & Canada)"
"21","-1962409984","positive","1","","","Delta","","twinkletaters","","0","@JetBlue Thanks! Her flight leaves at 2 but she's arriving to the airport early. Wedding is in VT in Sept. Grateful you fly to BTV!! :)","[32.07301184 -81.09362691]","2015-02-17 05:07:11 -0800","Savannah GA",""
"22","-788385792","negative","1","Late Flight","0.7098","United","","MiKasuga","","0","@United is officially the worst most delayed and least helpful airline I have ever had the misfortune of flying on","","2015-02-17 05:26:15 -0800","New York NY","Eastern Time (US & Canada)"
"23","1795317760","negative","1","Customer Service Issue","0.6364","Southwest","","WorkingWify","","0","@SouthwestAir won't answer their phones #HorribleService #NeverAgain #frustrated #AnswerThePhone","","2015-02-17 05:27:09 -0800","America",""
"24","1875378176","negative","1","Customer Service Issue","0.7188","US Airways","","DonnyYardas","","0","@USAirways reservations had me on hold for 2 hours only to hang up...smh 😕","","2015-02-17 05:38:31 -0800","Somewhere Creating","Eastern Time (US & Canada)"
"25","-276287488","positive","0","","0","Delta","","TravellerLukose","","0","@JetBlue No worries. Delay was minor and dealt with nicely. It was captain of flight 2324 by the way.","","2015-02-17 05:40:59 -0800","",""
"26","1820864513","neutral","0","","0","Southwest","","Tinygami","","0","@SouthwestAir Is it a temporary site glitch or are you no longer offering flights from GRR to GEG after Feb? Can't find any online :(","","2015-02-17 06:07:25 -0800","Michigan","Tehran"
"27","-1178439677","neutral","0","","0","United","","AsianAdidasGirl","","0","@united clicked on the link and got this? #confused http://t.co/xMAQcucWZl","[30.09009009 -95.64621813]","2015-02-17 06:07:45 -0800","Houston","Central Time (US & Canada)"
"28","725753858","neutral","0","","0","Southwest","","DubCook","","0","@SouthwestAir Guys we've got to do something about the inability to check in online for international  flight that has... (1/2)","[21.05483165 -86.78164351]","2015-02-17 06:13:38 -0800","Downtown Dallas Texas","Central Time (US & Canada)"
"29","839393280","negative","1","Cancelled Flight","0.6466","Southwest","","kabell87","","0","@SouthwestAir flight was Cancelled Flightled and it won't let me rebook online. Wait time on phone is too long. Please help","","2015-02-17 06:13:59 -0800","",""
"30","1065885696","neutral","0","","","Delta","","JulianBOGJB","","0","@JetBlue really caring??","","2015-02-17 06:21:57 -0800","Colombia",""
"31","1803702273","negative","1","Flight Attendant Complaints","1","Southwest","","MMKuderka","","0","@SouthwestAir allows other passengers 2 harass u after their gate agents mistakeFURIOUS they are doing NOTHING about it &amp; my 6yo was scared","","2015-02-17 06:29:14 -0800","","Arizona"
"32","843608064","negative","1","Flight Booking Problems","0.6709","Southwest","","kabell87","","0","@SouthwestAir  this is really unhelpful. Why can't I rebook online? http://t.co/N5O43sVl8i","","2015-02-17 06:30:14 -0800","",""
"33","-1602076671","negative","1","Late Flight","1","Delta","","EBlaikie","","0","@JetBlue sitting on the plane in JFK waiting to take off doors are open catering is stocking up we are delayed but they couldn't be nicer","","2015-02-17 06:41:24 -0800","",""
"34","-33423360","negative","1","Late Flight","1","Delta","","elowthers","","0","@JetBlue A flight delay due to pilots oversleeping is apparently an uncontrollable irregularity that is not eligible for delay compensation.","","2015-02-17 06:44:53 -0800","",""
"35","-95944704","negative","1","Customer Service Issue","0.6963","US Airways","","MarkKersten","","0",".@USAirways we have no choice but to pay another $50 to go to the airport in the hopes that we will be treated better by a rep.","","2015-02-17 06:52:12 -0800","London UK","Quito"
"36","-1417543680","positive","1","","","United","","scherzva","","0","@united New Apple crâpe amazing! Live from UA1207. Really nice crew too.  #AmericanAir has biscuits UA needs them 2 http://t.co/gZ9GqDT7Jj","","2015-02-17 07:07:18 -0800","ÜT: 34.188976-118.613497","Eastern Time (US & Canada)"
"37","2114076672","negative","1","Cancelled Flight","0.6526","Southwest","","lucasdavidson","","0","@SouthwestAir on hold for 2 hours and then you hung up 3 Cancelled Flightled flights. Running out of daycare for our kids who are trapped at home.","","2015-02-17 07:09:37 -0800","","Eastern Time (US & Canada)"
"38","272777217","negative","1","Late Flight","0.7073","United","","wackydunks","","0",".@united call my work and tell them it's your fault I'm Late Flight","","2015-02-17 07:12:58 -0800","grand rapids michigan","Eastern Time (US & Canada)"
"39","-1035853823","negative","1","Can't Tell","0.6843","Southwest","","Raven_TheGreat","","0","@SouthwestAir why have you guys jacked up the prices AFTER you said prices were going to be lowered? SMH","","2015-02-17 07:17:16 -0800","Dallas TX","Central Time (US & Canada)"
"40","-1010688000","negative","1","Customer Service Issue","0.6838","US Airways","","CharNewsJunkie","","0","@USAirways I have been on hold with your Gold reservations line for OVER 3 HOURS now. Flight Cancelled Flightled. Trying to rebook.","","2015-02-17 07:40:44 -0800","Charlotte North Carolina","Eastern Time (US & Canada)"
"41","-33026048","neutral","1","","","United","","Jamie_Fisher886","","0","@united how much does it cost to check in an additional bag? Traveling from newark to glasgow. Thank you :)","","2015-02-17 07:47:09 -0800","Glasgow","London"
"42","1065877505","negative","0","Late Flight","0.6716","US Airways","","sankeshw","","0","@USAirways we are on the 2pm flight FLL to PHL and then connection to MAN. However with the delays we might miss it. Can we go earlier?","","2015-02-17 07:50:06 -0800","North West UK","Casablanca"
"43","432570370","positive","0","","0","Southwest","","DaxJeter","","0","@SouthwestAir thanks do yall expect to be operational tomorrow out of Nashville?","","2015-02-17 07:53:02 -0800","NashvilleTN",""
"44","2026377216","negative","1","Customer Service Issue","0.6721","Southwest","","CBSsoxfan","","0","@SouthwestAir husband on hold 2.5 hrs got disconnected!New wait 30 min. Can't confirm res due to the fact he booked on line! Nuts!","","2015-02-17 07:55:08 -0800","Rhode Island",""
